you	Y UW 
demeanor	D IH M IY N ER 
deng	D EH NG 
dens	D EH N Z 
discounts	D IH S K AW N T S 
disprove	D IH S P R UW V 
dissuade	D IH S W EY D 
doorways	D AO R W EY Z 
dru	D R UW 
dumas	D UW M AH Z 
enact	IH N AE K T 
excluding	IH K S K L UW D IH NG 
flagrant	F L EY G R AH N T 
fraught	F R AO T 
frosting	F R AO S T IH NG 
gaz	G AA Z 
geographical	JH IY AH G R AE F IH K AH L 
gillespie	G AH L EH S P IY 
gonorrhea	G AA N ER IY AH 
gottlieb	G AA T L IY B 
hashimoto	HH AA SH IY M OW T OW 
hazzard	HH AE Z ER D 
hemlock	HH EH M L AA K 
hilltop	HH IH L T AA P 
humanoid	HH Y UW M AH N OY D 
impervious	IH M P ER V IY AH S 
insemination	IH N S EH M AH N EY SH AH N 
intrepid	IH N T R EH P AH D 
iota	AY OW T AH 
jacksonville	JH AE K S AH N V IH L 
jonathon	JH AA N AH TH AH N 
joyfully	JH OY F AH L IY 
kenai	K IY N AY 
kingman	K IH NG M AH N 
kirkpatrick	K ER K P AE T R IH K 
klump	K L AH M P 
kyra	K AY R AH 
lascivious	L AH S IH V IY AH S 
lathrop	L AE TH R AH P 
littered	L IH T ER D 
malin	M AE L IH N 
marva	M AA R V AH 
mathews	M AE TH Y UW Z 
matte	M AE T 
mauro	M AO R OW 
mcclain	M AH K L EY N 
meehan	M IY AH N 
melly	M EH L IY 
modem	M OW D AH M 
molded	M OW L D AH D 
morel	M ER EH L 
mythological	M IH TH AH L AA JH IH K AH L 
newsstand	N UW Z S T AE N D 
nomadic	N OW M AE D IH K 
nome	N OW M 
nostril	N AA S T R IH L 
oates	OW T S 
oceanic	OW SH IY AE N IH K 
oj	OW JH EY 
overheated	OW V ER HH IY T IH D 
overland	OW V ER L AE N D 
overpowering	OW V ER P AW R IH NG 
padua	P AE D Y UW AH 
paltry	P AO L T R IY 
peacocks	P IY K AA K S 
pecan	P AH K AA N 
pennant	P EH N AH N T 
pera	P ER AH 
pere	P ER 
permitting	P ER M IH T IH NG 
pessimist	P EH S AH M AH S T 
platforms	P L AE T F AO R M Z 
plunging	P L AH N JH IH NG 
poplar	P AA P L ER 
presbyterian	P R EH S B IH T IH R IY AH N 
ralf	R AA L F 
ransacked	R AE N S AE K T 
reappeared	R IY AH P IH R D 
reassurance	R IY AH SH UH R AH N S 
reconnect	R IY K AH N EH K T 
residing	R IH Z AY D IH NG 
roil	R OY L 
rosso	R OW S OW 
schoolgirls	S K UW L G ER L Z 
shear	SH IH R 
skier	S K AY R 
soiree	S W AA R EY 
takako	T AA K AA K OW 
tasha	T AE SH AH 
tessie	T EH S IY 
timbers	T IH M B ER Z 
touche	T UW SH 
tournaments	T ER N AH M AH N T S 
trimmings	T R IH M IH NG Z 
uncut	AH N K AH T 
undersecretary	AH N D ER S EH K R IH T EH R IY 
unify	Y UW N AH F AY 
vassily	V AH S IH L IY 
vigor	V IH G ER 
vilma	V IH L M AH 
waah	W AA 
warlike	W AO R L AY K 
watchers	W AA CH ER Z 
winkler	W IH NG K L ER 
wren	R EH N 
wriggle	R IH G AH L 
xue	Z UW 
yodeling	Y OW D AH L IH NG 
academics	AE K AH D EH M IH K S 
adonis	AH D AA N AH S 
aflame	AH F L EY M 
alka	AE L K AH 
anecdote	AE N IH K D OW T 
applebee	AE P AH L B IY 
atrium	EY T R IY AH M 
attachments	AH T AE CH M AH N T S 
audi	AO D IY 
autism	AO T IH Z AH M 
baccarat	B AA K ER AA 
bannon	B AE N AH N 
barns	B AA R N Z 
barr	B AA R 
bellini	B EH L IY N IY 
bipolar	B AY P OW L ER 
bock	B AA K 
bolan	B OW L AH N 
bosley	B AA Z L IY 
bridgette	B R IH JH IH T 
cagney	K AE G N IY 
cardio	K AA R D IY OW 
carnivorous	K AA R N IH V ER AH S 
changers	CH EY N JH ER Z 
cheekbones	CH IY K B OW N Z 
clarified	K L EH R AH F AY D 
claudette	K L OW D EH T 
cloakroom	K L OW K R UW M 
combines	K AH M B AY N Z 
conch	K AA N CH 
conjugal	K AA N JH AH G AH L 
cooperated	K OW AA P ER EY T AH D 
coordinating	K OW AO R D AH N EY T IH NG 
cussing	K AH S IH NG 
damme	D AE M 
dandelion	D AE N D AH L AY AH N 
dauphin	D AW F IH N 
dearer	D IH R ER 
defected	D IH F EH K T IH D 
delude	D IH L UW D 
dependence	D IH P EH N D AH N S 
dicey	D AY S IY 
dividends	D IH V IH D EH N D Z 
dredd	D R EH D 
dumont	D UW M AA N T 
dupe	D UW P 
edi	IY D IY 
ellsworth	EH L Z W ER TH 
embers	EH M B ER Z 
emit	IH M IH T 
eradicated	IH R AE D AH K EY T IH D 
evian	EH V IY AH N 
evoke	IH V OW K 
eyeliner	AY L AY N ER 
fascinate	F AE S AH N EY T 
fatally	F EY T AH L IY 
ferrer	F EH R ER 
fief	F IY F 
flemming	F L EH M IH NG 
foreboding	F AO R B OW D IH NG 
forsaking	F AO R S EY K IH NG 
fuchs	F Y UW K S 
gauguin	G AO G W IH N 
gilson	G IH L S AH N 
godiva	G AH D AY V AH 
goring	G AO R IH NG 
grendel	G R EH N D AH L 
grog	G R AA G 
grope	G R OW P 
guadalupe	G W AA D AH L UW P 
guangzhou	G W AE NG Z UW 
gutsy	G AH T S IY 
halliday	HH AE L IH D EY 
hoyle	HH OY L 
ikeda	IH K EY D AH 
illustration	IH L AH S T R EY SH AH N 
impunity	IH M P Y UW N IH T IY 
incinerated	IH N S IH N ER EY T IH D 
indicators	IH N D AH K EY T ER Z 
industrialists	IH N D AH S T R IY AH L IH S T S 
infer	IH N F ER 
jaan	Y AA N 
keypad	K IY P AE D 
kidnappings	K IH D N AE P IH NG Z 
lavery	L EY V ER IY 
lilacs	L AY L AE K S 
looming	L UW M IH NG 
lorne	L AO R N 
luk	L AH K 
lynched	L IH N CH T 
magi	M EY JH AY 
mahmud	M AE M UW D 
mallet	M AE L IH T 
malo	M AA L OW 
maniacal	M AH N AY AH K AH L 
mucus	M Y UW K AH S 
multiplying	M AH L T AH P L AY IH NG 
ngo	EH NG G OW 
niger	N AY JH ER 
nightlife	N AY T L AY F 
northbound	N AO R TH B AW N D 
oki	OW K IY 
oldie	OW L D IY 
ottawa	AA T AH W AA 
pastrami	P AH S T R AA M IY 
peels	P IY L Z 
percentages	P ER S EH N T IH JH IH Z 
perla	P ER L AH 
philistine	F IH L AH S T IY N 
physiological	F IH Z IY AH L AA JH IH K AH L 
playhouse	P L EY HH AW S 
precincts	P R IY S IH NG K T S 
prohibit	P R OW HH IH B AH T 
prouder	P R AW D ER 
quaker	K W EY K ER 
rahim	R AH HH IY M 
ramifications	R AE M AH F AH K EY SH AH N Z 
razzle	R AE Z AH L 
reappear	R IY AH P IH R 
revision	R IY V IH ZH AH N 
revolutionize	R EH V AH L UW SH AH N AY Z 
rune	R UW N 
salinas	S AH L IY N AH S 
salomon	S AE L AH M AH N 
saltwater	S AO L T W AA T ER 
sander	S AE N D ER 
sefton	S EH F T AH N 
seventies	S EH V AH N T IY Z 
sgt	S AA R JH AH N T 
shintaro	SH IH N T AA R OW 
shirl	SH ER L 
sidetracked	S AY D T R AE K T 
silken	S IH L K AH N 
simi	S IY M IY 
sizable	S AY Z AH B AH L 
slinging	S L IH NG IH NG 
spaniel	S P AE N Y AH L 
sprinkled	S P R IH NG K AH L D 
sprouted	S P R AW T AH D 
squabbling	S K W AA B AH L IH NG 
staples	S T EY P AH L Z 
stateside	S T EY T S AY D 
stimulates	S T IH M Y AH L EY T S 
surging	S ER JH IH NG 
surveys	S ER V EY Z 
swivel	S W IH V AH L 
taiwanese	T AY W AA N IY Z 
telephoning	T EH L AH F OW N IH NG 
teodoro	T IY OW D AO R OW 
thwarted	TH W AO R T AH D 
timor	T IY M AO R 
toughen	T AH F AH N 
tsukamoto	T S UW K AA M OW T OW 
ueda	W EH D AH 
unbecoming	AH N B IH K AH M IH NG 
uncouth	AH N K UW TH 
unhappily	AH N HH AE P AH L IY 
upheaval	AH P HH IY V AH L 
vassals	V AE S AH L Z 
voyages	V OY AH JH AH Z 
wavy	W EY V IY 
workaholic	W ER K AH HH AA L IH K 
zapped	Z AE P T 
abhor	AE B HH AO R 
abrasions	AH B R EY ZH AH N Z 
admittance	AH D M IH T AH N S 
airy	EH R IY 
alaskan	AH L AE S K AH N 
algorithm	AE L G ER IH DH AH M 
alteration	AO L T ER EY SH AH N 
bangalore	B AE NG G AH L AO R 
basements	B EY S M AH N T S 
battering	B AE T ER IH NG 
beckman	B EH K M AH N 
breeders	B R IY D ER Z 
burchell	B ER K AH L 
cahoots	K AH HH UW T S 
candor	K AE N D ER 
castelo	K AA S T EH L OW 
chinks	CH IH NG K S 
cleft	K L EH F T 
clemente	K L AH M EH N T EY 
collisions	K AH L IH ZH AH N Z 
colossus	K AH L AA S AH S 
communicator	K AH M Y UW N AH K EY T ER 
crescendo	K R IH SH EH N D OW 
daedalus	D EH D AH L AH S 
debated	D AH B EY T IH D 
demarco	D IH M AA R K OW 
digby	D IH G B IY 
disorganized	D IH S AO R G AH N AY Z D 
dissection	D AY S EH K SH AH N 
downwind	D AW N W IH N D 
egos	IY G OW Z 
elongated	IH L AO NG G EY T AH D 
embassies	EH M B AH S IY Z 
employing	EH M P L OY IH NG 
enforcer	EH N F AO R S ER 
envoys	EH N V OY Z 
ferenc	F ER EH N S 
folders	F OW L D ER Z 
forearm	F AO R AA R M 
futility	F Y UW T IH L AH T IY 
grossman	G R OW S M AH N 
haggerty	HH AE G ER T IY 
handout	HH AE N D AW T 
harnessed	HH AA R N AH S T 
hoes	HH OW Z 
hypnotism	HH IH P N AH T IH Z AH M 
imp	IH M P 
incoherent	IH N K OW HH IH R AH N T 
incompatible	IH N K AH M P AE T AH B AH L 
inconspicuous	IH NG K AA N S P IH K W AH S 
instructing	IH N S T R AH K T IH NG 
insulation	IH N S AH L EY SH AH N 
iwo	AY W OW 
juggler	JH AH G AH L ER 
lactose	L AE K T OW S 
legate	L EH G AH T 
lida	L IY D AH 
lowing	L OW IH NG 
lucked	L AH K T 
luiz	L UW Z 
luper	L UW P ER 
manicurist	M AE N IH K Y ER IH S T 
mathematically	M AE TH AH M AE T IH K AH L IY 
matias	M AA SH AH Z 
mattei	M AE T AY 
megaton	M EH G AH T AH N 
merging	M ER JH IH NG 
mistakenly	M IH S T EY K AH N L IY 
miura	M IY UH R AH 
moot	M UW T 
nativity	N AH T IH V AH T IY 
nobly	N AA B L IY 
nobodies	N OW B AA D IY Z 
obsessions	AH B S EH SH AH N Z 
operatic	AA P ER AE T IH K 
oppressors	AH P R EH S ER Z 
oregano	AO R EH G AH N OW 
outgrown	AW T G R OW N 
overhearing	OW V ER HH IY R IH NG 
pacemaker	P EY S M EY K ER 
pacify	P AE S AH F AY 
paddock	P AE D AH K 
paralyze	P EH R AH L AY Z 
pensive	P EH N S IH V 
poppycock	P AA P IY K AO K 
porta	P AO R T AH 
prawn	P R AO N 
preaches	P R IY CH IH Z 
proclaims	P R OW K L EY M Z 
puddles	P AH D AH L Z 
punt	P AH N T 
pussycats	P UH S IY K AE T S 
putter	P AH T ER 
ratcliffe	R AE T K L IH F 
recalls	R IY K AO L Z 
ree	R IY 
riccio	R IY CH IY OW 
rojas	R OW HH AA S 
sakurai	S AA K UW R AY 
salutes	S AH L UW T S 
salvaged	S AE L V IH JH D 
satoshi	S AA T OW SH IY 
scorch	S K AO R CH 
scribble	S K R IH B AH L 
sexton	S EH K S T AH N 
shoals	SH OW L Z 
shoop	SH UW P 
shoreline	SH AO R L AY N 
shortstop	SH AO R T S T AA P 
shylock	SH AY L AA K 
siegel	S IY G AH L 
sienna	S IY EH N AH 
sinead	S IH N EY AE D 
sinus	S AY N AH S 
sizzle	S IH Z AH L 
sliver	S L IH V ER 
snipe	S N AY P 
specter	S P EH K T ER 
sperry	S P EH R IY 
stammer	S T AE M ER 
stamper	S T AE M P ER 
steamship	S T IY M SH IH P 
streisand	S T R AY Z AH N D 
stupor	S T UW P ER 
tackling	T AE K L IH NG 
tamper	T AE M P ER 
testimonies	T EH S T IH M OW N IY Z 
timberlake	T IH M B ER L EY K 
tosses	T AO S IH Z 
transgressions	T R AE N Z G R EH SH AH N Z 
trawler	T R AO L ER 
trod	T R AA D 
truer	T R UW ER 
truest	T R UW IH S T 
uncompromising	AH N K AA M P R AH M AY Z IH NG 
undermining	AH N D ER M AY N IH NG 
unfounded	AH N F AW N D IH D 
vertically	V ER T IH K L IY 
virge	V ER JH 
wimbledon	W IH M B AH L D AH N 
yearns	Y ER N Z 
yeshiva	Y IH SH IY V AH 
abject	AE B JH EH K T 
abo	AA B OW 
advises	AE D V AY Z IH Z 
afghans	AE F G AE N Z 
alla	AA L AH 
altair	AA L T EH R 
ando	AE N D OW 
armaments	AA R M AH M AH N T S 
ascending	AH S EH N D IH NG 
assad	AH S AA D 
astor	AE S T ER 
banishment	B AE N IH SH M AH N T 
baritone	B EH R AH T OW N 
bellhop	B EH L HH AA P 
blare	B L EH R 
bombardier	B AA M B ER D IH R 
boxcar	B AA K S K AA R 
catty	K AE T IY 
chews	CH UW Z 
childers	CH IH L D ER Z 
clench	K L EH N CH 
cobras	K OW B R AH Z 
colonels	K ER N AH L Z 
convened	K AH N V IY N D 
crippling	K R IH P AH L IH NG 
dian	D AY AH N 
dingy	D IH N JH IY 
dips	D IH P S 
doable	D UW AH B AH L 
doppler	D AA P L ER 
dreading	D R EH D IH NG 
drifts	D R IH F T S 
duster	D AH S T ER 
dwellers	D W EH L ER Z 
eckland	EH K L AH N D 
ecology	IH K AA L AH JH IY 
epitome	IH P IH T AH M IY 
eustace	Y UW S T AH S 
evander	IY V AE N D ER 
expedite	EH K S P IH D AY T 
fairs	F EH R Z 
fixtures	F IH K S CH ER Z 
fromm	F R AA M 
grable	G R EY B AH L 
grisly	G R IH Z L IY 
groggy	G R AA G IY 
handlers	HH AE N D L ER Z 
hectares	HH EH K T AA R Z 
houseboat	HH AW S B OW T 
hutt	HH AH T 
immerse	IH M ER S 
impersonate	IH M P ER S AH N EY T 
imposition	IH M P AH Z IH SH AH N 
incessantly	IH N S EH S AH N T L IY 
incestuous	IH N S EH S CH W AH S 
indefinite	IH N D EH F AH N AH T 
ingram	IH NG G R AH M 
ithaca	IH TH AH K AH 
ivanhoe	AY V AH N HH OW 
judiciary	JH UW D IH SH IY EH R IY 
kronos	K R OW N OW S 
leno	L EH N OW 
lessen	L EH S AH N 
locator	L OW K EY T ER 
mcdowell	M AH K D AW AH L 
memos	M EH M OW Z 
menem	M EH N AH M 
meningitis	M EH N AH N JH AY T AH S 
midas	M AY D AH S 
newfoundland	N UW F AH N D L AH N D 
nobler	N OW B L ER 
notwithstanding	N AA T W IH TH S T AE N D IH NG 
oberon	OW B ER AA N 
overcast	OW V ER K AE S T 
overkill	OW V ER K IH L 
overpriced	OW V ER P R AY S T 
paddies	P AE D IY Z 
pats	P AE T S 
petri	P EH T R IY 
pitchers	P IH CH ER Z 
pittance	P IH T AH N S 
ply	P L AY 
pon	P AA N 
pore	P AO R 
promotional	P R AH M OW SH AH N AH L 
propelled	P R AH P EH L D 
prowler	P R AW L ER 
punitive	P Y UW N AH T IH V 
rabbis	R AE B AY Z 
racy	R EY S IY 
renewing	R IH N UW IH NG 
retreats	R IY T R IY T S 
rewriting	R IY R AY T IH NG 
rhythmically	R IH DH M IH K L IY 
roared	R AO R D 
robyn	R AA B IH N 
roslin	R AA S L IH N 
sachi	S AE CH IY 
schafer	SH EY F ER 
schindler	SH IH N D L ER 
scrappy	S K R AE P IY 
shacks	SH AE K S 
shriveled	SH R IH V AH L D 
singleton	S IH NG G AH L T AH N 
slava	S L AA V AH 
sombrero	S AA M B R EH R OW 
soothes	S UW DH Z 
soto	S OW T OW 
stacking	S T AE K IH NG 
stenographer	S T EH N AH G R AH F ER 
stethoscope	S T EH TH AH S K OW P 
strategically	S T R AH T IY JH IH K L IY 
stroked	S T R OW K T 
substitution	S AH B S T IH T UW SH AH N 
suppressing	S AH P R EH S IH NG 
susa	S UW S AH 
swanee	S W AA N IY 
swinger	S W IH NG ER 
synthesis	S IH N TH AH S AH S 
syringes	S ER IH N JH AH Z 
tennyson	T EH N IH S AH N 
theron	TH EH R AH N 
tonk	T AO NG K 
torque	T AO R K 
toussaint	T UW S AE N 
transformers	T R AE N S F AO R M ER Z 
trickling	T R IH K L IH NG 
turpentine	T ER P AH N T AY N 
twinkies	T W IH NG K IY Z 
undignified	AH N D IH G N IH F AY D 
unfairly	AH N F EH R L IY 
vets	V EH T S 
vexed	V EH K S T 
zuba	Z UW B AH 
agra	AE G R AH 
alu	AA L UW 
aluminium	AH L UW M IH N AH M 
amer	EY M ER 
aorta	EY AO R T AH 
astounded	AH S T AW N D IH D 
athletics	AE TH L EH T IH K S 
barret	B AE R IH T 
battleground	B AE T AH L G R AW N D 
becket	B EH K AH T 
blackened	B L AE K AH N D 
bluey	B L UW IY 
bonney	B AA N IY 
brunt	B R AH N T 
bulldogs	B UH L D AO G Z 
burr	B ER 
caballero	K AE B AH Y EH R OW 
camcorder	K AE M K AO R D ER 
carats	K EH R AH T S 
cartilage	K AA R T AH L AH JH 
catwalk	K AE T W AA K 
chassis	CH AE S IY 
cheri	SH EH R IY 
christi	K R IH S T IY 
christmases	K R IH S M AH S IH Z 
cleary	K L IH R IY 
coffers	K AA F ER Z 
conspirator	K AH N S P IH R AH T ER 
coven	K AH V AH N 
cremate	K R IY M EY T 
crossover	K R AO S OW V ER 
cupboards	K AH B ER D Z 
debtors	D EH T ER Z 
decrees	D IH K R IY Z 
deductible	D IH D AH K T AH B AH L 
digested	D AY JH EH S T IH D 
discrete	D IH S K R IY T 
droz	D R AA Z 
dutiful	D UW T IY F AH L 
effectiveness	IH F EH K T IH V N AH S 
egghead	EH G HH EH D 
emmanuelle	IH M AA N UW EH L 
endeavors	IH N D EH V ER Z 
erasmus	IH R AE Z M AH S 
flagged	F L AE G D 
footer	F UH T ER 
foothills	F UH T HH IH L Z 
foreclose	F AO R K L OW Z 
forefront	F AO R F R AH N T 
foreground	F AO R G R AW N D 
galvin	G AE L V IH N 
garb	G AA R B 
gatekeeper	G EY T K IY P ER 
godard	G AH D AA R D 
greenpeace	G R IY N P IY S 
griggs	G R IH G Z 
groucho	G R UW CH OW 
heimlich	HH AY M L IH K 
hitching	HH IH CH IH NG 
hockney	HH AA K N IY 
hosted	HH OW S T IH D 
hundredth	HH AH N D R AH D TH 
incinerator	IH N S IH N ER EY T ER 
informative	IH N F AO R M AH T IH V 
innuendo	IH N Y UW EH N D OW 
intertwined	IH N T ER T W AY N D 
ishii	IH SH IY IY 
juilliard	JH UW L IY AA R D 
kaneko	K AA N EY K OW 
kass	K AE S 
kawai	K AA W AA IY 
kippur	K IH P ER 
kono	K OW N OW 
kranz	K R AE N Z 
kubik	K Y UW B IH K 
kwai	K W AY 
langston	L AE NG S T AH N 
leighton	L EY T AH N 
letitia	L IH T IH SH IY AH 
lithuanian	L IH TH AH W EY N IY AH N 
littering	L IH T ER IH NG 
macfarlane	M AH K F AA R L AH N 
mang	M AE NG 
marga	M AA R G AH 
marietta	M EH R IY EH T AH 
marvels	M AA R V AH L Z 
matsui	M AA T S UW IY 
mauser	M AW S ER 
mehdi	M EH D IY 
merritt	M EH R IH T 
micke	M IH K 
mojave	M OW HH AA V IY 
moray	M ER EY 
motorboat	M OW T ER B OW T 
mutations	M Y UW T EY SH AH N Z 
nervousness	N ER V AH S N AH S 
nightstand	N AY T S T AE N D 
occupations	AA K Y AH P EY SH AH N Z 
ota	OW T AH 
overtaken	OW V ER T EY K AH N 
pauses	P AO Z AH Z 
pent	P EH N T 
pimm	P IH M 
policing	P AH L IY S IH NG 
pushups	P UH SH AH P S 
quarterly	K W AO R T ER L IY 
quiche	K IY SH 
ramses	R AE M S IY Z 
raptors	R AE P T ER Z 
refute	R IH F Y UW T 
reigned	R EY N D 
reroute	R IY R UW T 
rerun	R IY R AH N 
retraction	R IY T R AE K SH AH N 
riz	R IH Z 
royals	R OY AH L Z 
rudimentary	R UW D AH M EH N T ER IY 
schaefer	SH EY F ER 
scotsman	S K AA T S M AH N 
sketching	S K EH CH IH NG 
sleaze	S L IY Z 
soulless	S OW L L AH S 
southerners	S AH DH ER N ER Z 
spearman	S P IH R M AH N 
spew	S P Y UW 
sprays	S P R EY Z 
squabble	S K W AA B AH L 
stingers	S T IH NG ER Z 
sustains	S AH S T EY N Z 
tangiers	T AE N JH IH R Z 
tartars	T AA R T ER Z 
thurman	TH ER M AH N 
tita	T IY T AH 
tourette	T ER EH T 
traci	T R EY S IY 
trampoline	T R AE M P AH L IY N 
trite	T R AY T 
ula	Y UW L AH 
undivided	AH N D AH V AY D IH D 
unsatisfied	AH N S AE T IH S F AY D 
valera	V AH L EH R AH 
varying	V EH R IY IH NG 
vials	V AY AH L Z 
weldon	W EH L D AH N 
wilfrid	W IH L F R IH D 
wrecker	R EH K ER 
xerxes	Z ER K S IY Z 
yangtze	Y AE NG K T S IY 
youngblood	Y AH NG B L AH D 
absorbs	AH B Z AO R B Z 
adhesive	AE D HH IY S IH V 
adrenalin	AH D R EH N AH L IH N 
anxieties	AE NG Z AY AH T IY Z 
arsonist	AA R S AH N AH S T 
assimilate	AH S IH M AH L EY T 
awash	AH W AA SH 
backer	B AE K ER 
bacterial	B AE K T IH R IY AH L 
barked	B AA R K T 
bawl	B AO L 
belching	B EH L CH IH NG 
biochemical	B AY OW K EH M IH K AH L 
boldness	B OW L D N AH S 
booklet	B UH K L IH T 
boos	B UW Z 
brecht	B R EH K T 
breuer	B R UW ER 
brunettes	B R UW N EH T S 
buckles	B AH K AH L Z 
cally	K AE L IY 
canes	K EY N Z 
capitan	K AE P IH T AH N 
capo	K AA P OW 
captioned	K AE P SH AH N D 
catastrophes	K AH T AE S T R AH F IY Z 
chisum	CH IH Z AH M 
clobbered	K L AA B ER D 
clump	K L AH M P 
cocker	K AA K ER 
collard	K AA L ER D 
comparatively	K AH M P AE R AH T IH V L IY 
constipation	K AA N S T AH P EY SH AH N 
convene	K AH N V IY N 
countryman	K AH N T R IY M AH N 
cranium	K R EY N IY AH M 
cultivation	K AH L T IH V EY SH AH N 
designate	D EH Z AH G N EY T 
detrimental	D EH T R AH M EH N T AH L 
devonshire	D IH V AA N SH AY R 
dewitt	D EH W IH T 
differentiate	D IH F ER EH N SH IY EY T 
diligently	D IH L AH JH AH N T L IY 
disappearances	D IH S AH P IH R AH N S IH Z 
disinfect	D IH S IH N F EH K T 
divinely	D IH V AY N L IY 
dolled	D AA L D 
duan	D W AE N 
dyer	D AY ER 
elyse	EH L AY S 
emanuel	IH M AE N Y UW AH L 
employs	EH M P L OY Z 
enright	IH N R AY T 
etta	EH T AH 
explicitly	IH K S P L IH S AH T L IY 
extravagance	EH K S T R AE V AH G AH N S 
extravaganza	EH K S T R AE V AH G AE N Z AH 
eyelid	AY L IH D 
fairytales	F EH R IY T EY L Z 
fervor	F ER V ER 
festering	F EH S T ER IH NG 
fiendish	F IY N D IH SH 
fixated	F IH K S EY T IH D 
fractions	F R AE K SH AH N Z 
gaffney	G AE F N IY 
gators	G EY T ER Z 
girlish	G ER L IH SH 
gnaw	N AO 
goode	G UH D 
gunny	G AH N IY 
hydro	HH AY D R OW 
icebergs	AY S B ER G Z 
imperfection	IH M P ER F EH K SH AH N 
indie	IH N D IY 
intestinal	IH N T EH S T IH N AH L 
ishida	IH SH IY D AA 
jettison	JH EH T IH S AH N 
jurassic	JH UH R AE S IH K 
kalman	K AE L M AH N 
kelli	K EH L IY 
kubo	K Y UW B OW 
kyne	K AY N 
landlords	L AE N D L AO R D Z 
larch	L AA R CH 
loathed	L OW DH D 
lucrezia	L UW K R IY SH AH 
maeda	M EY IY D AH 
malek	M AA L EH K 
masculinity	M AE S K Y AH L IH N AH T IY 
masterful	M AE S T ER F AH L 
masturbated	M AE S T ER B EY T IH D 
maura	M AO R AH 
mobiles	M OW B AH L Z 
mochizuki	M OW CH IY Z UW K IY 
mysticism	M IH S T IH S IH Z AH M 
nannies	N AE N IY Z 
newsroom	N UW Z R UW M 
nozzle	N AA Z AH L 
onslaught	AO N S L AO T 
opportune	AA P ER T UW N 
opt	AA P T 
outlined	AW T L AY N D 
overdosed	OW V ER D OW S T 
pangs	P AE NG Z 
payton	P EY T AH N 
picturing	P IH K CH ER IH NG 
poli	P OW L IY 
postponing	P OW S T P OW N IH NG 
prodigious	P R AH D IH JH AH S 
raged	R EY JH D 
ramadan	R AE M AH D AH N 
rameses	R AE M AH S IY Z 
recourse	R IY K AO R S 
reliant	R IH L AY AH N T 
reprehensible	R EH P R IH HH EH N S AH B AH L 
retires	R IH T AY R Z 
sagar	S AA G AA R 
scalps	S K AE L P S 
scents	S EH N T S 
schofield	S K OW F IY L D 
seer	S IY R 
seething	S IY DH IH NG 
shakedown	SH EY K D AW N 
sharif	SH ER IY F 
shelled	SH EH L D 
shoko	SH OW K OW 
shortcuts	SH AO R T K AH T S 
sibyl	S IH B AH L 
soups	S UW P S 
sprinklers	S P R IH NG K L ER Z 
steamy	S T IY M IY 
subsidiary	S AH B S IH D IY EH R IY 
suey	S UW IY 
superpower	S UW P ER P AW ER 
sussex	S AH S IH K S 
synonymous	S AH N AA N AH M AH S 
tancredi	T AA N K R EH D IY 
televised	T EH L AH V AY Z D 
thebes	TH IY B Z 
toolbox	T UW L B AO K S 
torrent	T AO R AH N T 
trilogy	T R IH L AH JH IY 
tusks	T AH S K S 
underwent	AH N D ER W EH N T 
unlisted	AH N L IH S T IH D 
unreachable	AH N R IY CH AH B AH L 
vaccines	V AE K S IY N Z 
venereal	V AH N IH R IY AH L 
waging	W EY JH IH NG 
watt	W AA T 
wily	W AY L IY 
winfield	W IH N F IY L D 
wormser	W ER M Z ER 
zooming	Z UW M IH NG 
abound	AH B AW N D 
acquit	AH K W IH T 
adjective	AE JH IH K T IH V 
alliances	AH L AY AH N S IH Z 
amoeba	AH M IY B AH 
anemic	AH N IY M IH K 
angier	AE N JH IY ER 
annoyance	AH N OY AH N S 
antiseptic	AE N T AH S EH P T IH K 
applegate	AE P AH L G EY T 
arcadia	AA R K EY D IY AH 
arid	AE R AH D 
arlen	AA R L AH N 
astonishment	AH S T AA N IH SH M AH N T 
bab	B AE B 
balla	B AE L AH 
beet	B IY T 
bernd	B ER N T 
blackpool	B L AE K P UW L 
boatswain	B OW T S W EY N 
boning	B OW N IH NG 
browse	B R AW Z 
bruton	B R UW T AH N 
bullhorn	B UH L HH AO R N 
businesswoman	B IH Z N IH S W UH M AH N 
chappelle	SH AH P EH L 
checkered	CH EH K ER D 
christoph	K R IH S T AO F 
climbers	K L AY M ER Z 
clings	K L IH NG Z 
coasts	K OW S T S 
conchita	K AH N CH IY T AH 
consolidate	K AH N S AA L IH D EY T 
contagion	K AH N T EY JH AH N 
contra	K AA N T R AH 
coolers	K UW L ER Z 
cruises	K R UW Z IH Z 
deactivated	D IY AE K T IH V EY T IH D 
detainees	D IH T EY N IY Z 
deter	D IH T ER 
deviate	D IY V IY EY T 
displacement	D IH S P L EY S M AH N T 
donato	D AH N AA T OW 
dueling	D UW L IH NG 
elroy	IH L R OY 
enoch	IY N AH K 
enthusiast	EH N TH UW Z IY AE S T 
escalated	EH S K AH L EY T IH D 
ess	EH S 
fantastically	F AE N T AE S T IH K L IY 
fedex	F EH D EH K S 
filtered	F IH L T ER D 
financier	F IH N AH N S IY R 
fluorescent	F L UH R EH S AH N T 
foreskin	F OW R S K IH N 
freer	F R IY ER 
gawain	G AA W AH N 
gentler	JH EH N T L ER 
graf	G R AE F 
grandiose	G R AE N D IY OW S 
grigory	G R EH G ER IY 
grunge	G R AH N JH 
gulping	G AH L P IH NG 
hague	HH EY G 
